iter	Passed	Remaining
168	1510	2958
169	1515	2941
170	1524	2933
171	1532	2923
172	1540	2912
173	1550	2904
174	1558	2894
175	1567	2885
176	1575	2875
177	1582	2862
178	1585	2842
179	1593	2833
180	1603	2825
181	1612	2816
182	1620	2806
183	1628	2797
184	1637	2788
185	1646	2779
186	1656	2772
187	1665	2764
188	1674	2754
189	1681	2743
190	1689	2733
191	1697	2722
192	1705	2712
193	1713	2703
194	1723	2695
195	1733	2688
196	1742	2679
197	1759	2683
198	1768	2675
199	1777	2665
200	1784	2654
201	1793	2646
202	1799	2633
203	1826	2650
204	1853	2666
205	1865	2662
206	1874	2653
207	1883	2644
208	1890	2632
209	1898	2622
210	1906	2611
211	1914	2601
212	1917	2583
213	1926	2574
214	1935	2566
215	1945	2557
216	1953	2547
217	1962	2538
218	1971	2529
219	1979	2519
220	1987	2509
221	1996	2500
222	2005	2490
223	2014	2481
224	2018	2467
225	2026	2457
226	2035	2448
227	2041	2435
228	2049	2424
229	2057	2415
230	2065	2405
231	2073	2395
232	2082	2385
233	2090	2376
234	2099	2367
235	2109	2359
236	2118	2350
237	2125	2340
238	2133	2330
239	2143	2322
240	2151	2311
241	2160	2303
242	2168	2293
243	2177	2284
244	2187	2276
245	2195	2267
246	2205	2258
247	2213	2248
248	2220	2238
249	2230	2230
250	2239	2221
251	2247	2211
252	2255	2202
253	2264	2193
254	2273	2184
255	2282	2175
256	2290	2166
257	2298	2156
258	2307	2147
259	2316	2138
260	2323	2127
261	2331	2118
262	2339	2108
263	2349	2100
264	2359	2091
265	2367	2083
266	2377	2074
267	2386	2065
268	2394	2056
269	2402	2046
270	2415	2041
271	2424	2032
272	2433	2023
273	2441	2014
274	2451	2005
275	2460	1996
276	2468	1987
277	2477	1978
278	2485	1968
279	2492	1958
280	2498	1947
281	2506	1937
282	2515	1928
283	2523	1919
284	2532	1910
285	2541	1901
286	2550	1892
287	2559	1884
288	2567	1874
289	2575	1865
290	2584	1855
291	2593	1847
292	2602	1838
293	2611	1829
294	2618	1819
295	2628	1811
296	2637	1802
297	2646	1793
298	2654	1784
299	2662	1775
300	2671	1766
301	2679	1756
302	2694	1752
303	2704	1743
304	2714	1735
305	2722	1725
306	2730	1716
307	2739	1707
308	2748	1698
309	2784	1706
310	2800	1702
311	2811	1694
312	2821	1685
313	2830	1676
314	2839	1667
315	2848	1658
316	2857	1649
317	2865	1639
318	2873	1630
319	2881	1621
320	2891	1612
321	2900	1603
322	2910	1594
323	2917	1584
324	2923	1573
325	2932	1564
326	2940	1555
327	2946	1545
328	2954	1535
329	2964	1527
330	2973	1518
331	2982	1509
332	2991	1500
333	3000	1491
334	3009	1482
335	3018	1473
336	3026	1464
337	3035	1454
338	3044	1445
339	3053	1437
340	3063	1428
341	3071	1419
342	3081	1410
343	3090	1401
344	3099	1392
345	3106	1382
346	3115	1373
347	3124	1364
348	3133	1355
349	3143	1347
350	3152	1338
351	3161	1329
352	3171	1320
353	3180	1311
354	3189	1302
355	3196	1293
356	3203	1283
357	3211	1273
358	3220	1264
359	3229	1255
360	3237	1246
361	3244	1236
362	3251	1227
363	3260	1218
364	3267	1208
365	3276	1199
366	3282	1189
367	3291	1180
368	3299	1171
369	3308	1162
370	3317	1153
371	3326	1144
372	3335	1135
373	3344	1126
374	3354	1118
375	3362	1109
376	3372	1100
377	3381	1091
378	3388	1081
379	3394	1072
380	3404	1063
381	3413	1054
382	3421	1045
383	3431	1036
384	3438	1027
385	3448	1018
386	3457	1009
387	3466	1000
388	3474	991
389	3482	982
390	3490	973
391	3499	964
392	3507	954
393	3515	945
394	3524	936
395	3533	927
396	3543	919
397	3552	910
398	3569	903
399	3579	894
400	3588	886
401	3598	877
402	3606	868
403	3620	860
404	3633	852
405	3642	843
406	3652	834
407	3662	825
408	3669	816
409	3679	807
410	3716	804
411	3734	797
412	3754	790
413	3765	782
414	3773	772
415	3784	764
416	3792	754
417	3802	745
418	3810	736
419	3820	727
420	3829	718
421	3838	709
422	3847	700
423	3858	691
424	3867	682
425	3874	673
426	3883	663
427	3892	654
428	3902	645
429	3911	636
430	3918	627
431	3927	618
432	3937	609
433	3946	600
434	3955	591
435	3965	582
436	3974	572
437	3983	563
438	3991	554
439	4000	545
440	4008	536
441	4018	527
442	4027	518
443	4035	509
444	4045	500
445	4053	490
446	4063	481
447	4073	472
448	4081	463
449	4090	454
450	4099	445
451	4108	436
452	4118	427
453	4125	417
454	4133	408
455	4141	399
456	4151	390
457	4159	381
458	4169	372
459	4178	363
460	4187	354
461	4195	345
462	4205	336
463	4215	327
464	4225	318
465	4234	308
466	4243	299
467	4253	290
468	4262	281
469	4271	272
470	4280	263
471	4289	254
472	4298	245
473	4308	236
474	4318	227
475	4327	218
476	4337	209
477	4345	200
478	4354	190
479	4364	181
480	4373	172
481	4382	163
482	4391	154
483	4400	145
484	4409	136
485	4416	127
486	4423	118
487	4433	109
488	4440	99
489	4448	90
490	4457	81
491	4466	72
492	4475	63
493	4484	54
494	4493	45
495	4501	36
496	4511	27
497	4520	18
498	4529	9
499	4546	0
