iter	Logloss
282	0.3899924315
283	0.3899897452
284	0.3899406338
285	0.389884361
286	0.3898316375
287	0.3897809718
288	0.3897313544
289	0.3896995461
290	0.3895729837
291	0.3895078894
292	0.3894720851
293	0.3893449484
294	0.389282162
295	0.3890971147
296	0.3890017423
297	0.3888733217
298	0.3886481458
299	0.3886400261
300	0.3885177909
301	0.3884936922
302	0.3884789128
303	0.3883648241
304	0.3882540452
305	0.3881365651
306	0.3881054563
307	0.3880144835
308	0.3879316585
309	0.3878706331
310	0.3878026735
311	0.3877135872
312	0.3875908634
313	0.3874732242
314	0.3874016946
315	0.3873552433
316	0.3873335221
317	0.3873198524
318	0.3872871877
319	0.3872701819
320	0.3872131176
321	0.3871469847
322	0.3870394266
323	0.3870146656
324	0.38697407
325	0.3867506851
326	0.3867010138
327	0.3866770096
328	0.3866234061
329	0.3865216896
330	0.38650073
331	0.386494821
332	0.3863066835
333	0.3862863996
334	0.3861420059
335	0.3860965703
336	0.3860322274
337	0.3859789036
338	0.3859382964
339	0.3858345467
340	0.3857598721
341	0.3856924899
342	0.3856084448
343	0.3855584794
344	0.385498781
345	0.3854849429
346	0.3854393589
347	0.3853900669
348	0.3853246747
349	0.3852315237
350	0.3850749429
351	0.3849808821
352	0.3848627406
353	0.3848135265
354	0.3847730202
355	0.3847487392
356	0.3846766982
357	0.3846356327
358	0.3845620534
359	0.3844918998
360	0.3843908813
361	0.3843404844
362	0.3843062158
363	0.3842873147
364	0.384221495
365	0.3841781697
366	0.3841179701
367	0.3840772222
368	0.3840459674
369	0.3839702852
370	0.3838359416
371	0.3837619521
372	0.383748291
373	0.383670802
374	0.3836404408
375	0.3835590646
376	0.3834262311
377	0.383424836
378	0.3833640601
379	0.3832588078
380	0.3832521449
381	0.3830786236
382	0.3829811403
383	0.3829228312
384	0.3828271572
385	0.382755462
386	0.382603833
387	0.3825311827
388	0.382504992
389	0.3824834131
390	0.3823900262
391	0.3823787962
392	0.3823374026
393	0.3823111017
394	0.3822511819
395	0.3822091271
396	0.3820638717
397	0.3820457493
398	0.3820110174
399	0.3819470867
400	0.3818021344
401	0.3817657029
402	0.3817138169
403	0.3816610583
404	0.3816566935
405	0.3816113195
406	0.3814514675
407	0.3813667623
408	0.3812378549
409	0.3811350472
410	0.3809986744
411	0.3809119125
412	0.3808599374
413	0.3808281415
414	0.3807848228
415	0.3807181315
416	0.3806368948
417	0.3805837705
418	0.3805018831
419	0.3804060172
420	0.3802789087
421	0.3802299263
422	0.3802093636
423	0.3799963795
424	0.3799292713
425	0.3798958992
426	0.3798511813
427	0.3797116129
428	0.379672967
429	0.3796328751
430	0.3796177789
431	0.3796074303
432	0.3795023044
433	0.3794056857
434	0.3793622089
435	0.3792521438
436	0.3792191437
437	0.3791414107
438	0.3790244102
439	0.3789690476
440	0.378944943
441	0.3789075458
442	0.3788695235
443	0.3788340386
444	0.3787280249
445	0.3786834224
446	0.3786319461
447	0.37860295
448	0.3786012969
449	0.3785343524
450	0.3785272156
451	0.3784894029
452	0.3784349947
453	0.3784161875
454	0.3783668298
455	0.3783400208
456	0.3783073061
457	0.3782749103
458	0.3782275569
459	0.378205727
460	0.3781985463
461	0.3780922904
462	0.3780630138
463	0.3779568084
464	0.3779297442
465	0.3779054816
466	0.3778179691
467	0.377689316
468	0.3776218431
469	0.3775997566
470	0.3775978073
471	0.3775135701
472	0.3773519133
473	0.3773100454
474	0.3771917493
475	0.3771712428
476	0.3770606302
477	0.3769034844
478	0.3768545811
479	0.3768212734
480	0.3767937249
481	0.3767186191
482	0.376681136
483	0.3766639489
484	0.3766586068
485	0.3766240747
486	0.3766055682
487	0.376506134
488	0.37648264
489	0.3764470771
490	0.3764251537
491	0.3762745374
492	0.3762498149
493	0.3761883122
494	0.3761805293
495	0.3760079297
496	0.3758188202
497	0.3756663432
498	0.3756220371
499	0.3755966031
